Side,Price,Quantity
Ask,103.15,100
Ask,103.20,50
Bid,102.85,80
Bid,102.90,70
Ask,103.25,60
Ask,103.30,100
Bid,102.95,50
Ask,103.35,70
Ask,103.40,80
Bid,103.05,60
Bid,103.10,70
Ask,103.45,100
Ask,103.50,50
Bid,103.15,80
Bid,103.20,70
Ask,103.55,60
Ask,103.60,100
Bid,103.25,50
Ask,103.65,70
Ask,103.70,80
Bid,103.30,60
Bid,103.35,70
Ask,103.75,100
Ask,103.80,50
Bid,103.45,80
Bid,103.50,70
Ask,103.85,60
Ask,103.90,100
Bid,103.55,50
Ask,103.95,70
Ask,104.00,80
Bid,103.65,60
Bid,103.70,70
Ask,104.05,100
Ask,104.10,50
Bid,103.75,80
Bid,103.80,70
Ask,104.15,60
Ask,104.20,100
Bid,103.85,50
Ask,104.25,70
Ask,104.30,80
Bid,103.95,60
Bid,104.00,70
Ask,104.35,100
Ask,104.40,50
Bid,104.05,80
Bid,104.10,70
Ask,104.45,60
Ask,104.50,100
Bid,104.15,50
Ask,104.55,70
Ask,104.60,80
Bid,104.25,60
Bid,104.30,70
Ask,104.65,100
Ask,104.70,50
Bid,104.35,80
Bid,104.40,70
Ask,104.75,60
Ask,104.80,100
Bid,104.45,50
Ask,104.85,70
Ask,104.90,80
Bid,104.55,60
Bid,104.60,70
Ask,104.95,100
Ask,105.00,50
Bid,104.65,80
Bid,104.70,70
Ask,105.05,60
Ask,105.10,100
Bid,104.75,50
Ask,105.15,70
Ask,105.20,80
Bid,104.85,60
Bid,104.90,70
Ask,105.25,100
Ask,105.30,50
Bid,104.95,80
Bid,105.00,70
Ask,105.35,60
Ask,105.40,100
Bid,105.05,50
Ask,105.45,70
Ask,105.50,80
Bid,105.15,60
Bid,105.20,70
Ask,105.55,100
Ask,105.60,50
Bid,105.25,80
Bid,105.30,70
Ask,105.65,60
Ask,105.70,100
Bid,105.35,50
Ask,105.75,70
Ask,105.80,80
Bid,105.45,60
Bid,105.50,70
Ask,105.85,100
Ask,105.90,50
Bid,105.55,80
Bid,105.60,70
Ask,105.95,60
Ask,106.00,100
Bid,105.65,50
Ask,106.05,70
Ask,106.10,80
Bid,105.75,60
Bid,105.80,70
Ask,106.15,100
Ask,106.20,50
Bid,105.85,80
Bid,105.90,70
Ask,106.25,60
Ask,106.30,100
Bid,105.95,50
Ask,106.35,70
Ask,106.40,80
Bid,106.05,60
Bid,106.10,70
Ask,106.45,100
Ask,106.50,50
Bid,106.15,80
Bid,106.20,70
Ask,106.55,60
Ask,106.60,100
Bid,106.25,50
Ask,106.65,70
Ask,106.70,80
Bid,106.35,60
Bid,106.40,70
Ask,106.75,100
Ask,106.80,50
Bid,106.45,80
Bid,106.50,70
Ask,106.85,60
Ask,106.90,100
Bid,106.55,50
Ask,106.95,70
Ask,107.00,80
Bid,106.65,60
Bid,106.70,70
Ask,107.05,100
Ask,107.10,50
Bid,106.75,80
Bid,106.80,70
Ask,107.15,60
Ask,107.20,100
Bid,106.85,50
Ask,107.25,70
Ask,107.30,80
Bid,106.95,60
Bid,107.00,70
Ask,107.35,100
Ask,107.40,50
Bid,107.05,80
Bid,107.10,70
Ask,107.45,60
Ask,107.50,100
Bid,107.15,50
Ask,107.55,70
Ask,107.60,80
Bid,107.25,60
Bid,107.30,70
Ask,107.65,100
Ask,107.70,50
Bid,107.35,80
Bid,107.40,70
Ask,107.75,60
Ask,107.80,100
Bid,107.45,50
Ask,107.85,70
Ask,107.90,80
Bid,107.55,60
Bid,107.60,70
Ask,107.95,100
Ask,108.00,50
Bid,107.65,80
Bid,107.70,70
Ask,108.05,60
Ask,108.10,100
Bid,107.75,50
Ask,108.15,70
Ask,108.20,80
Bid,107.85,60
Bid,107.90,70
Ask,108.25,100
Ask,108.30,50
Bid,107.95,80
Bid,108.00,70
Ask,108.35,60
Ask,108.40,100
Bid,108.05,50
Ask,108.45,70
Ask,108.50,80
Bid,108.15,60
Bid,108.20,70
Ask,108.55,100
Ask,108.60,50
Bid,108.25,80
Bid,108.30,70
Ask,108.65,60
Ask,108.70,100
Bid,108.35,50
Ask,108.75,70
Ask,108.80,80
Bid,108.45,60
Bid,108.50,70
Ask,108.85,100
Ask,108.90,50
Bid,108.55,80
Bid,108.60,70
Ask,108.95,60
Ask,109.00,100
Bid,108.65,50
Ask,109.05,70
Ask,109.10,80
Bid,108.75,60
Bid,108.80,70
Ask,109.15,100
Ask,109.20,50
Bid,108.85,80
Bid,108.90,70
Ask,109.25,60
Ask,109.30,100
Bid,108.95,50
Ask,109.35,70
Ask,109.40,80
Bid,109.05,60
Bid,109.10,70
Ask,109.45,100
Ask,109.50,50
Bid,109.15,80
Bid,109.20,70
Ask,109.55,60
Ask,109.60,100
Bid,109.25,50
Ask,109.65,70
Ask,109.70,80
Bid,109.35,60
Bid,109.40,70
Ask,109.75,100
Ask,109.80,50
Bid,109.45,80
Bid,109.50,70
Ask,109.85,60
Ask,109.90,100
Bid,109.55,50
Ask,109.95,70
Ask,110.00,80
Bid,109.65,60
Bid,109.70,70
Ask,110.05,100
Ask,110.10,50
Bid,109.75,80
Bid,109.80,70
Ask,110.15,60
Ask,110.20,100
Bid,109.85,50
Ask,110.25,70
Ask,110.30,80
Bid,109.95,60
Bid,110.00,70
Ask,110.35,100
Ask,110.40,50
Bid,110.05,80
Bid,110.10,70
Ask,110.45,60
Ask,110.50,100
Bid,110.15,50
Ask,110.55,70
Ask,110.60,80
Bid,110.25,60
Bid,110.30,70
Ask,110.65,100
Ask,110.70,50
Bid,110.35,80
Bid,110.40,70
Ask,110.75,60
Ask,110.80,100
Bid,110.45,50
Ask,110.85,70
Ask,110.90,80
Bid,110.55,60
Bid,110.60,70
Ask,110.95,100
Ask,111.00,50
Bid,110.65,80
Bid,110.70,70
Ask,111.05,60
Ask,111.10,100
Bid,110.75,50
Ask,111.15,70
Ask,111.20,80
Bid,110.85,60
Bid,110.90,70
Ask,111.25,100
Ask,111.30,50
Bid,110.95,80
Bid,111.00,70
Ask,111.35,60
Ask,111.40,100
Bid,111.05,50
Ask,111.45,70
Ask,111.50,80
Bid,111.15,60
Bid,111.20,70
Ask,111.55,100
Ask,111.60,50
Bid,111.25,80
Bid,111.30,70
Ask,111.65,60
Ask,111.70,100
Bid,111.35,50
Ask,111.75,70
Ask,111.80,80
Bid,111.45,60
Bid,111.50,70
Ask,111.85,100
Ask,111.90,50
Bid,111.55,80
